,Unnamed: 0,overall,reviewerID,asin,reviewerName,reviewText
0,0,5,A1C6M8LCIX4M6M,0001713353,June Bug,This book is a winner with both of my boys.  They really enjoy the pictures and the story.  It's a classic.
1,1,5,A1REUF3A1YCPHM,0001713353,TW Ervin II,"The King, the Mice and the Cheese by Nancy Gurney is an excellent children's book.  It is one that I well remember from my own childhood and purchased for my daughter who loves it.

It is about a king who has trouble with rude mice eating his cheese. He consults his wise men and they suggest cats to chase away the mice. The cats become a nuisance, so the wise men recommend the king bring in dogs to chase the cats away.  The cycle goes on until the mice are finally brought back to chase away the elephants, brought in to chase away the lions that'd chased away the dogs.

The story ends in compromise and friendship between the mice and the king.  The story also teaches cause and effect relationships.

The pictures that accompany the story are humorous and memorable.  I was thrilled to discover that it is back in print.  I *highly* recommend it for children ages 2 to 7."
2,2,5,A1YRBRK2XM5D5,0001713353,Rebecca L. Menner,"My daughter got her first copy from her great-grandmother (it had been my father's when he was a child). She loves it so much that she has worn out two copies now. Colorful pictures, easy to follow words, and wonderful morals (sharing, thinking problems through, and that the easy way isn't always the best way)."
3,3,5,A1V8ZR5P78P4ZU,0001713353,Mindy Stone,I remember this book from when I was a child about 30 years ago and what I most remember was how wonderful the expressions of the various animals had on their little faces.  Absolutely wonderful art work that will make you feel part of the characters in the book.  The moral of this story is great as well.....learn how to share!!!  We need more sharing and caring and this book points it out very delicately and creatively!
4,4,5,A2ZB06582NXCIV,0001713353,B. Deniger,"Just as I remembered it, one of my favorites from childhood! Great condition, very happy to have this to share with my daughter. Packaging was so nice and was received quickly."
5,5,5,ACPQVNRD3Z09X,0001713353,Terri Dickson,"It is a very cute book with great illustrations,with an enjoyable story for children."
6,6,5,AVP0HXC9FG790,0001713353,Amazon Customer,The kids loved it!
7,7,5,A32MQTLQQN44WW,0001713353,jackie hogan,"I was just so hapoy to have found it, thank you for offering !"
8,8,5,A13CHIJPFCEP2M,0001713353,Janice Cunningham,good comdition
9,9,5,A324TTUBKTN73A,0001713353,Tekla Borner,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.
10,10,5,ADLBKEDYXKXCH,0001713353,LouS,"A thought-provoking fable about unintended consequences.  To get rid of mice, you bring in cats.  But then how do you get rid of the cats?  A favorite of my grandkids (around 5 years old) and my wife (I had better not give her age :-)."
11,11,5,A3MVI1KIZQA9XB,0001713353,Charlie C,My favorite book as a child. My daughter's favorite book also. She was 8. Great moral and awesome illustration. I read it to my daughters class in 2nd grade and it was very well received by all.
12,12,5,A2RE7WG349NV5D,0001713353,Deborah K Woroniecki,LOVE IT
13,13,4,A2GSWEYW6Y4OIY,0001713353,Gary Phillips,Great story. I loved it as a kid and now can read it to my grandkids. A little overpriced but I could not find it anywhere else.
14,14,5,AX8YZYILXC7LT,0001713353,KM,This is a cute story my children used to love. Now my grandson will get a chance to read it as well.  The book has been out of print so I was happy to find a copy.  It arrived promptly in near new condition as described in the sellers comments..
15,15,5,ABZ2UEQ2JRYJ9,0001713353,Doug Ruhman,Perfect!
16,16,5,A32B7QIUDQCD0E,0001713353,E,Great!
17,17,5,A25PQPZXU63223,0001713353,pat brooks,"This was my 51 year old daughters book, got this one as part of her birthday. She will be thrilled"
18,18,5,AUZXLPH8BN28C,0001713353,sharon,Great vintage book
19,19,5,A2VXMOSOTK0W70,0001713353,Kevin Northup,One of my favorite books ever! So glad I found it for my grandson. But I was surprised and didn't understand why it was so rare & expensive. Still worth it for the one I found!
20,20,5,A232U4KSNYAO2R,0001713353,Wendz,"This was a favourite of my children, and we now have a copy for our grandchildren! We can just about remember it word for word."
21,21,5,A1RDVO9NPKWISU,0001713353,Erich Everbach,I'm using this book in a course on sustainability at the college level. In many ways it is better than the Lorax:  more fund and less didactic.
22,22,5,AHHHGMN33KF95,0001713353,tj,It was hard to find this original book in such good shape for the price I paid. I was very happy with it.
23,23,5,A3H9YD6K9TVKDP,0001713353,James Charnock,"Over and over the king has problems.  Fortunately, he has wise men to help him solve his problems.  Unfortunately, his wise men turn one problem into another problem.  So, on top of all his other problems his wise men are a problem too.

Who wants mice all over the place; naughty mice at that?  And so many that they are in your food, even in your beard--you do have a beard?

Well, the wise men have the answer to the problem.  And the king is delighted, but not for long because the problem comes back again and again.  In the end, the king wins ...and the king loses.  How can he both win AND lose?

(Picture Book:  Fanciful Fiction)

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Creative-Teacher-Activities-for-Language-Arts-Grades-4-through-8-and-Up/dp/1604945486/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Creative Teacher: Activities for Language Arts (Grades 4 through 8 and Up)</a>"
24,24,5,A3M314LI9OYME,0001713353,Jaleta Clegg,"I remember reading my parents' copy of this book until it fell apart. The story still makes me giggle. I just wanted to share it with my kids, who appreciated it even though most of them are teenagers now. The story is light-hearted and silly, but with a very powerful message about learning to live with the problems you have instead of trading them for larger problems.

The artwork is hysterical, too."
25,25,5,A1YDQQJDRHM0FJ,0001713353,Leila,I am very happy with the book!!!  It is one of my children's favorite books and I was so pleased I could order it here!!!
26,26,5,A1IL1A91CHGU53,0001713353,Belle,I remember reading this when I was a kid.  Favorite book then and so fun to find again.  Read it to my grown kids when it came.
27,27,5,AHXMDCU0N15TN,0001713353,sonybalony,"My copy is so tattered, worn and so loved.  A well done plot on how it's sometimes better to get along, than to try to work the problem."
28,28,5,A2M46WTE5TR5WN,0001713353,SLL,"This was one of my favorites when I was a small child, so I bought a copy for my nephew when he was just starting to read."
